filename	caption	second positive	negative_caption
000000248980.jpg	A plate of food sitting on a table, it appears to be a salad.	The plate of food positioned on the table appears to be a salad.	A plate of food next to a table, it appears to be a salad.
000000083113.jpg	An elephant walks around its exhibit at the zoo	The elephant in a zoo roams around its exhibit.	An elephant rests in its exhibit at the zoo.
000000409475.jpg	A smiling pair of skiers with a huge snow covered mountain behind them.	A massive snow-covered mountain as the background of a grinning pair of skiers.	A smiling pair of skiers with a huge snow covered mountain in front of them.
000000296649.jpg	A bunch of bikers are gathered on a city street.	A group of bikers cluster on a city street.	A bunch of bikers are dispersed throughout a city street.
000000433980.jpg	A person taking a selfie with a mobile phone.	A person snaps a photo of oneself using a mobile phone.	A person is giving mobile phone to someone to take a picture.
000000360137.jpg	A person is sitting under a colorful umbrella.	A vibrant umbrella shades the person sitting under.	A person is sitting beside a colorful umbrella.
000000303818.jpg	A bus traveling down a curvy road behind a black car.	A black car is traveling ahead of the bus on the winding road.	A bus stopping at a curvy road behind a black car.
000000295713.jpg	A person sitting on a bench next to a statue sitting on a bench.	A statue is located on a bench next to a person sitting on the bench.	A person looking at a bench next to a statue sitting on a bench.
000000113403.jpg	Three stuffed animals lay in a bed cuddled together.	The three stuffed animals are together in a bed cuddled.	Three stuffed animals lay in a bed separated from each other.
000000261982.jpg	A person flying through the air while riding a skateboard.	A person is airborne while skateboarding.	A person crashing through the air while riding a skateboard.
000000104782.jpg	A red stop sign with a green street sign posted above it.	The green street sign is positioned above the red stop sign.	A red stop sign with a green street sign to the left of it.
000000268996.jpg	A city street sign mounted on a black pole near a high rise building.	Close to a tall building is a city street sign positioned on a black pole.	A city street sign leaning against a black pole near a high rise building.
000000521405.jpg	A stuffed animal sitting in front of a tooth brush.	The toothbrush is situated behind the stuffed animal.	A stuffed animal lying next to a tooth brush.
000000218362.jpg	A wall with several different clocks hanging from it with a mirror next to them.	Numerous types of clocks hang from a wall next to a mirror.	A wall with several different clocks hanging from it across from a mirror.
000000069106.jpg	A herd of zebra standing next to each other against a stone wall.	A group of zebra standing together near a stone wall.	A herd of zebra running against a stone wall.
000000099182.jpg	A person in a black jacket is flipping through a large book.	The large book is being flipped by the person dressed in a black jacket.	A person in a black jacket is closing a large book.
000000134882.jpg	A cat curled up on a bed for a nap.	On the bed is the curled up cat taking a nap.	A cat stretched out on a bed for a nap.
000000261982.jpg	A person on a skateboard does a trick	The person is performing a trick on the skateboard.	A person on a skateboard is being watched while doing a trick.
000000153529.jpg	A person stands next to their luggage on a platform.	The person is standing on the platform beside their luggage.	A person sits on their luggage on a platform.
000000489842.jpg	A bunch of kids are posing with santa	Santa is posing with a group of children.	A bunch of kids are sitting on the lap of Santa.
000000361551.jpg	Some people are standing outside a building with suitcases.	Some individuals with suitcases are standing outside a building.	Some people are sitting outside a building with suitcases.
000000137246.jpg	A person holding a hot dog on the street.	The hot dog is held by a person on the street.	A person throwing a hot dog on the street.
000000459887.jpg	Four bananas in a bunch with brown dots	A cluster of four bananas with brown spots.	Four bananas separate from each other with brown dots.
000000259690.jpg	A person in a wheelchair who is holding a baseball bat.	A individual is holding a baseball bat while being in a wheelchair.	A person in a wheelchair who is dropping a baseball bat.
000000148719.jpg	A red Dodge truck is parked near another Dodge.	Another Dodge is parked close to a red Dodge.	A red Dodge truck is driving away from another Dodge.
000000252776.jpg	A person glares as other people behind him look on	While others behind him look on, a person glares.	A person glares as other people in front of him look on.
000000442480.jpg	THERE IS AN AIRPLANE THAT IS PARKED ON THE TARP	A parked airplane is located on the tarp.	An airplane is flying above the tarp.
000000117645.jpg	A person on a snowy slope on a snowboard.	A person is snowboarding on a snowy slope.	A person is flying over a snowy slope on a snowboard.
000000579158.jpg	The airplane is parked on the runway in the airport.	The airplane is parked on the airport runway.	The airplane is flying over the runway at the airport.
000000356498.jpg	Some kind of a pancake that has broccoli and sauce on it.	A kind of pancake with broccoli and sauce placed on it.	Some kind of a pancake that does not have broccoli and sauce on it.
000000288042.jpg	A gentle person walking in the rain along a river.	A person walks alongside the river in the rain.	A gentle person running in the rain along a river.
000000226903.jpg	A variety of desserts are being displayed for people to enjoy.	The displayed desserts are accessible for people's enjoyment.	A variety of desserts are being put away after people enjoyed them.
000000322864.jpg	A yellow taxi cab sitting below tall buildings.	The tall buildings tower above the yellow taxi cab.	A yellow taxi cab sitting amidst tall buildings.
000000163057.jpg	People are flying kites in the park and walking.	People are flying kites and walking in the park.	People are running in the park and walking.
000000236412.jpg	A pizza casserole  with two kinds of crackers on the side.	Two types of crackers are positioned beside the pizza casserole.	A pizza casserole without any crackers on the side.
000000058350.jpg	A person with a slice of pizza in mouth next to another person.	Two individuals are situated adjacent to each other, one with a slice of pizza in their mouth.	A person with a slice of pizza in mouth across from another person.
000000537991.jpg	A person holding a phone in each hand and wearing a headset in front  of a Christmas tree.	The person in front of a Christmas tree is wearing a headset and holding a phone in each hand.	A person dropping a phone in each hand and wearing a headset in front of a Christmas tree.
000000042276.jpg	A bathroom with a toilet and a lot of ski boots	a restroom with a toilet and a plethora of ski boots.	A bathroom without a toilet and a lot of ski boots.
000000545129.jpg	Two zebras standing close to a little one	Couple of zebras are standing near a smaller one.	Two zebras standing far from a little one.
000000361103.jpg	A city sidewalk with people walking up and down	The city sidewalk is filled with people walking in both directions.	A city sidewalk without people walking up and down.
000000417465.jpg	A large black bear with a long tongue hanging out of its mouth.	A long tongue is dangling from the mouth of a large black bear.	A large black bear without a long tongue hanging out of its mouth.
000000089670.jpg	A patty, with frosting on it, in the middle.	In the center is the patty with frosting on it.	A patty, with frosting on top of it.
000000030675.jpg	A black orange and yellow train on its track and some trees	A black orange and yellow train is on its track, accompanied by some trees.	A black orange and yellow train beside its track and some trees.
000000458109.jpg	A passenger train rides on the rails, with another set of rails nearby.	Another set of rails is nearby the passenger train traveling on the rails.	A passenger train rides on the rails, crossing over another set of rails.
000000008021.jpg	A presenter projected on a large screen at a conference.	During a conference, a presenter was displayed on a large screen	A presenter is standing next to a large screen at a conference.
000000194471.jpg	A person riding a skateboard up the side of a ramp.	The person on the skateboard rides up the side of the ramp.	A person is falling off a skateboard down the side of a ramp.
000000525155.jpg	A person walking with a goat on their shoulders	The person carries the goat on their shoulders while walking.	A person walking with a goat next to them.
000000091779.jpg	Three hot dogs with different toppings lined up on a tabletop.	Three hot dogs with diverse toppings are arranged on the tabletop alongside each other.	Three hot dogs with different toppings scattered on a tabletop.
000000338624.jpg	A person walking their dog down a sidewalk.	The dog is being walked by a person down a sidewalk.	A person running their dog down a sidewalk.
000000286523.jpg	A person talking on a cell phone outside of a fast food place	A person stands outside the fast food place talking on cell phone.	A person texting on a cell phone outside of a fast food place.
000000029393.jpg	A large brown dog standing on the side of a white wood fence.	A white wooden fence is positioned next to a standing large brown dog.	A large brown dog jumping over a white wood fence.
000000376442.jpg	A black stuffed animal sitting on top of a toilet in a bathroom stall with blue floor tile.	A black stuffed animal rests on top of a toilet in a bathroom stall featuring a blue floor tile.	A black stuffed animal sitting next to a toilet in a bathroom stall with blue floor tile.
000000459887.jpg	A bunch of bananas in a metal bowl.	A metal bowl contains a cluster of bananas.	A bunch of bananas next to a metal bowl.
000000135561.jpg	A kitchen illuminated by a track lighting unit.	A track lighting fixture brightens the kitchen.	A kitchen darkened by a power outage.
000000213224.jpg	Two vases of fresh flowers sit on top of the table.	Couple of vases containing fresh flowers are positioned on the table.	Two vases of fresh flowers sit beside the table.
000000164602.jpg	A couple taking a photo of themselves cleaning their teeth	while cleaning their teeth, a couple is taking a selfie.	A couple taking a photo of themselves with clean teeth.
000000284623.jpg	A black cat sitting inside a bathroom sink	A black cat is seated within the bathroom sink.	A black cat sitting outside a bathroom sink.
000000361551.jpg	Some people who are placing luggage on a runway.	Some individuals are positioning luggage on a runway.	Some people who are placing luggage beside a runway.
000000295316.jpg	Four surfers are trying to catch a wave as they stand.	Four surfers are attempting to catch a wave while standing.	Four surfers are avoiding a wave as they stand.
000000456394.jpg	A motorcycle is on esplanade at the car show.	A car show displays a motorcycle on the esplanade.	A motorcycle is next to the esplanade at the car show.
000000008690.jpg	Two small children petting animals at a zoo.	Couple of small children are at a zoo petting animals.	Two small children watching animals at a zoo.
000000410880.jpg	A stuffed bear is sitting outside an eatery.	An eatery has a stuffed bear sitting outside.	A stuffed bear is sitting inside an eatery.
000000453708.jpg	A pile of green bananas on top of a person's shoulder.	A person is carrying a pile of green bananas on top of their shoulder.	A pile of green bananas in front of a person's shoulder.
000000360137.jpg	A person holding a multicolored umbrella looking at a body of water.	A person while looking at the body of water holds a multicolored umbrella.	A person putting away a multicolored umbrella while looking at a body of water.
000000074058.jpg	A fish eye shot of people sitting outside at a cafe.	A wide-angle view of a cafe with people seated outdoors.	A fish eye shot of people sitting inside at a cafe.
000000116208.jpg	Large baked pizza served on stand at table with beverages.	At the table with beverages is a large baked pizza served on a stand.	Large baked pizza served on stand next to table with beverages.
000000216739.jpg	A giraffe standing next to a very large tree.	A very large tree stands next to a giraffe.	A giraffe lying down next to a very large tree.
000000301867.jpg	Three teenage people hover under an umbrella while they talk and laugh.	The umbrella shelters the three teenage individuals as they chat and giggle.	Three teenage people hover under an umbrella while they silently text on their phones.
000000352684.jpg	Persons of different origin standing in a hall.	Persons with different backgrounds are standing in the hall.	Persons of different origin walking through a hall.
000000458992.jpg	A person holding a knife and fork over a giant pizza.	A person grips a knife and fork while positioned over a large pizza.	A person holding a knife and fork near a giant pizza.
000000578545.jpg	A pregnant person in bed reading a book	The person that is pregnant is reading a book in bed.	A pregnant person beside the bed reading a book.
000000400573.jpg	A person wearing glasses eating a glazed donut out of doors.	The person who is wearing glasses and eating a glazed donut is situated outdoors.	A person wearing glasses throwing away a glazed donut out of doors.
000000303818.jpg	A curve in a city road with a bus following a car and people walking on the side.	A curve in the city road, with a bus trailing a car, and pedestrians strolling alongside.	A curve in a city road with a bus following a car and people waiting on the side.
000000334719.jpg	Children & one adult flying a kite in an open area	One adult and some children are flying a kite in an open space.	Children & one adult watching a kite fly in an open area.
000000134096.jpg	A cat drinking water from a bathroom faucet.	A cat is drinking water from a faucet in the bathroom.	A cat jumping on a bathroom faucet.
000000061418.jpg	Several children playing a game together outside with boats in the background.	Several children are playing a game together outside while boats are positioned in the background.	Several children playing a game together outside without boats in the background.
000000329456.jpg	Several people crossing a road with one person having food in their hand.	Several individuals are traversing a roadway with a single individual holding food in their hand.	Several people crossing a road with one person having food on their head.
000000369370.jpg	A ham sandwich on a white plate with a kale garnish.	A white plate with a kale garnish contains a ham sandwich.	A ham sandwich on a white plate without a kale garnish.
000000475064.jpg	The front of a restaurant with someone holding up food	Someone is holding up food in front of a restaurant.	The front of a restaurant with someone carrying food.
000000410456.jpg	Four people learning how to surf on the beach.	The beach is where four people are learning how to surf.	Four people battling the waves on the beach.
000000479448.jpg	Some bananas and strawberries on a large waffle	A large waffle has bananas and strawberries on it.	Some bananas and strawberries beside a large waffle.
000000274687.jpg	A bicycle leaning against a bed in a bedroom.	A bicycle is located in a bedroom propped against a bed.	A bicycle resting on top of a bed in a bedroom.
000000078959.jpg	A green fruit tree yields fruit not yet ready for harvest.	The fruits produced by a green fruit tree are not yet ready for harvest.	A green fruit tree yields fruit ripe for picking.
000000121031.jpg	A group of people traveling on horses in the water,	A cluster of individuals riding horses in water.	A group of people standing on horses in the water.
000000253386.jpg	A medium sized dog is standing with some people.	Some people are with the medium-sized standing dog.	A medium sized dog is running towards some people.
000000461275.jpg	A white street sign in front of  a green large tree.	A green large tree stands behind a white street sign.	A white street sign behind a green large tree.
000000137246.jpg	A person in brown shirt holding a hotdog by tables with umbrellas.	A person near the tables with umbrellas is wearing a brown shirt and holding a hot dog.	A person in brown shirt holding a hotdog under tables with umbrellas.
000000261097.jpg	A tennis player on the middle of the court.	The middle of the tennis court is where a tennis player is located.	A tennis player on the edge of the court.
000000544565.jpg	A plate filled with pastry on a table.	The table houses a plate with pastry.	An empty plate on a table.
000000421455.jpg	The person is holding phone toward the dog hanging out of the car window.	The dog is hanging out the car window, with the person holding phone towards it.	The person is not holding phone while the dog hangs out of the car window.
000000051738.jpg	A white bed in a bedroom next to a lamp on a table.	The bedroom contains a white bed close to a lamp on a table.	A white bed in a bedroom far from a lamp on a table.
000000036861.jpg	A parking meter on the side of the street with a ring for attaching bicycles.	A parking meter equipped with a ring for attaching bicycles is positioned next to the street.	A parking meter on the side of the street lacking a ring for attaching bicycles.
000000193494.jpg	A bed in a tent with a colorful ceiling.	A bed is positioned in a tent with a vibrant ceiling.	A bed next to a tent with a colorful ceiling.
000000493286.jpg	A vintage red car in front of a vintage army prop plane.	A vintage army prop plane is positioned behind a classic red car .	A vintage red car behind a vintage army prop plane.
000000227686.jpg	Horse with blinders on walking through wooded area	A horse walks through a wooded area wearing blinders.	A horse with blinders on galloping through a wooded area.
000000475779.jpg	A large tusked elephant walking in a wooded area.	An elephant with huge tusks is walking in a wooded area.	A large tusked elephant resting in a wooded area.
000000281414.jpg	A person is sitting on a wall and looking down at their cell phone.	An individual is looking down at their cell phone while sitting on a wall.	A person is sitting next to a wall and looking down at their cell phone.
000000187243.jpg	A person laying down on a bathroom floor by a trash can.	A person lies on the floor in the bathroom next to a trash can.	A person is standing next to a bathroom floor by a trash can.
000000578922.jpg	Red flowers sitting in a vase with a red wall behind them.	A vase holds red flowers with a red wall in the background.	Red flowers sitting in a vase beside a red wall.
000000322724.jpg	A person in a neon snowsuit is standing on skis.	Skis are positioned beneath the person wearing the neon snowsuit.	A person in a neon snowsuit is skiing down the slope.
000000102356.jpg	A person sits on a motorbike with a cart extended	The person sits on the motorbike with a cart extending from it.	A person is standing beside a motor bike with a cart extended.
000000381639.jpg	This is a little child standing in an airport	A small child is standing in the airport.	This is a little child sitting in an airport.
000000035963.jpg	A cross with teddy bears tied to it.	The teddy bears are tied to the cross.	A cross with teddy bears lying next to it.
000000034139.jpg	A huge suitcase with a bunch of stickers on it	A large suitcase with multiple stickers adorning it.	A huge suitcase without any stickers on it.
000000227478.jpg	Two people sitting on a park bench, one looking over their shoulder	A couple of individuals sit on a park bench, with one glancing over their shoulder.	Two people standing beside a park bench, one looking over their shoulder.
000000171190.jpg	A ground of people sitting around a table holding wine glasses in their hands.	A group of people holding wine glasses in their hands are sitting around a table.	A ground of people sitting around a table clinking wine glasses together.
000000350002.jpg	A person in a dress and pale makeup sitting by a table	A person with pale makeup in a dress sits by a table.	A person in a dress and pale makeup standing by a table.
000000123321.jpg	This is a broccoli carrot soup with a lot of broth.	This soup containing broccoli and carrot has a lot of broth.	This is a broccoli carrot soup without a lot of broth.
000000414034.jpg	A kid sitting on a bed with a remote.	The kid holding the remote is sitting on a bed.	A kid sitting next to a bed with a remote.
000000368294.jpg	A person making cigars in a factory with a pink towel on head.	A person wearing a pink towel on head is making cigars in a factory.	A person making cigars in a factory without a pink towel on head.
000000183127.jpg	A surfer rides the face of a wave.	A person while surfing rides the surface of a wave.	A surfer falls off the face of a wave.
000000562243.jpg	A person with glasses and wearing a tie poses for a profile picture.	A person poses for a profile picture while wearing a tie and glasses.	A person without glasses and wearing a tie poses for a profile picture.
000000025560.jpg	A cat perches on top of an entertainment center in front of a TV.	An entertainment center in front of a TV has a cat perched on top of it.	A cat perches next to an entertainment center in front of a TV.
000000508730.jpg	A set of twins who are taking a bath.	A pair of twins that are bathing.	A set of twins who are getting out of a bath.
000000134112.jpg	A dog is lying next to a laptop computer.	A laptop computer is positioned beside a lying dog.	A dog is sleeping on top of a laptop computer.
000000283520.jpg	Two people standing in front of some trees.	Some trees are behind a couple of standing people.	Two people standing behind some trees.
000000284282.jpg	A blender is sitting next to a printer.	Next to the printer is a blender.	A blender is sitting behind a printer.
000000187243.jpg	A person is lying on their back on the floor of a bathroom.	A person lies on their back on the bathroom floor.	A person is sitting on the floor of a bathroom.
000000173044.jpg	A clock tower stands in front of a large mirrored skyscraper.	In front of a massive mirrored skyscraper, there is a clock tower standing tall.	A clock tower stands behind a large mirrored skyscraper.
000000564127.jpg	A white toilet with a black seat on top of a tiled floor.	A white toilet on positioned on a tiled floor has a black seat	A white toilet with a black seat next to a tiled floor.
000000259690.jpg	A person is helping an athlete on a sport field.	An athlete is assisted by someone on a sports field.	A person is helping an athlete next to a sport field.
000000099810.jpg	A child is eating donut holes while sitting at a dinner table.	A child is sitting at a dinner table and eating donut holes.	A child is throwing donut holes while sitting at a dinner table.
000000301061.jpg	An elephant in the back of a truck trailer.	A truck trailer has an elephant in its back.	An elephant on top of a truck trailer.
000000187271.jpg	A vintage yellow refrigerator surrounded by wood cabinetry.	Wooden cabinetry surrounding a classic yellow refrigerator.	A vintage yellow refrigerator hidden behind wood cabinetry.
000000289516.jpg	A clock set to twenty after three in a field	A clock set to 20 after 3 in a field.	A clock set to twenty after three beside a field.
000000122606.jpg	A bus parked to the side of an empty road.	An empty road is positioned beside a parked bus.	A bus parked in the middle of an empty road.
000000559543.jpg	A little child in a pink shirt holding a game controller.	The little child holding the game controller is wearing a pink shirt.	A little child in a pink shirt beside a game controller.
000000183716.jpg	Two young children in uniforms sitting closely together.	Couple of young children are sitting closely together in their uniforms.	Two young children in uniforms standing far apart.
000000163640.jpg	A couple of people standing in front of a building.	Two individuals stand in front of a building.	A couple of people sitting in front of a building.
000000163640.jpg	Two people getting food at an outside restaurant.	A couple of individuals are obtaining food at an outside restaurant.	Two people sharing food at an outside restaurant.
000000308430.jpg	Someone is cooking vegetarian stir fry in a skillet.	The person is preparing vegetarian stir fry in a skillet.	Someone is cooking vegetarian stir fry out of a skillet.
000000297578.jpg	A person lighting a cigarette as he walks on a city street.	While walking down the city street, a person is lighting a cigarette.	A person lighting a cigarette as he crosses a city street.
000000109798.jpg	A variety of doughnuts sitting on a paper plate.	A paper plate has a variety of doughnuts sitting on it.	A variety of doughnuts scattered around a paper plate.
000000537506.jpg	A group of people standing on the side of a road.	A gathering of people are standing on the roadside.	A group of people sitting on the side of a road.
000000500257.jpg	People in blue shirts push carts of luggage in an airport.	Individuals wearing blue shirts push carts of luggage in an airport.	People outside of the airport push carts of luggage.
000000352900.jpg	A plate full of noodles and broccoli, next to a knife and fork.	A knife and a fork are positioned beside the plate filled with noodles and broccoli.	A plate full of noodles and broccoli, across from a knife and fork.
000000180560.jpg	One person carrying a cake with candles and another person in the background.	A person holding a cake with candles in the foreground with another person in the background.	One person dropping a cake with candles and another person in the background.
000000087875.jpg	A fire hydrant in a grassy field next to a bush	A grassy field, adjacent to a bush, contains a fire hydrant.	A fire hydrant in a grassy field far from a bush.
000000396274.jpg	A plant in a garden near a white building.	A plant is positioned in a garden beside a white building.	A plant in a garden far from a white building.
000000101762.jpg	A cat standing next to a bike parked against a wall.	A bike parked against a wall beside a standing cat.	A cat sleeping next to a bike parked against a wall.
000000311295.jpg	A group of zebras in a field by some trees.	A group of zebras are positioned near some trees in a field.	A group of zebras are running across a field near some trees.
000000577539.jpg	A blue plate filled with marshmallows, chocolate chips and banana.	Marshmallows, chocolate chips, and banana filled the blue plate.	A blue plate empty of marshmallows, chocolate chips and banana.
000000153343.jpg	Two teddy bears that are large sitting in a small garden	Two large teddy bears sit in a small garden.	Two large teddy bears are playing in a small garden.
000000089670.jpg	A two tier cake with some frosting and strawberries in the middle	Some frosting and strawberries are at the center of a two-tier cake.	A two tier cake with some frosting and strawberries on top of it.
000000281179.jpg	An empty street at night with lots of lights in the background.	The street with many lights in the background is empty at night,	An empty street at night without any lights in the background.
000000051961.jpg	A coin meter that has paint all over it	The coin meter is completely covered in paint.	A coin meter that is brand new.
000000184384.jpg	A piece of cake with butter on it sits next to an orange slice.	An orange slice is positioned beside a slice of cake with butter on it.	A piece of cake with butter on it is far from an orange slice.
000000270244.jpg	A zebra all by itself in the green forest.	The zebra is all alone in the green forest.	A zebra all by itself outside of the green forest.
000000414795.jpg	A herd of elephants  being herded into a river while tourists take photos.	A group of elephants are being directed into a river while tourists take photographs.	A herd of elephants swimming in a river while tourists take photos.
000000163257.jpg	A person holding a pink umbrella standing on their tiptoes.	The person stands on toes while holding the pink umbrella.	A person holding a pink umbrella jumping on their tiptoes.
000000462629.jpg	Old appliances outside the back door of a repair shop.	Old appliances are placed outside the repair shop's  back door.	Old appliances inside the back door of a repair shop.
000000507223.jpg	A person that is standing in the dirt with a bat.	A person with a bat is standing in the dirt.	A person that is sitting in the dirt with a bat.
000000076731.jpg	A pen is sitting on top of a laptop.	The pen is situated on top of the laptop.	A pen is sitting beside a laptop.
000000070158.jpg	Three zebra located next to each other on a dirt hillside.	The three zebras on the dirt hillside are situated near each other.	Three zebra located far from each other on a dirt hillside.
000000331817.jpg	A table with several dishes on it with a television.	A television is placed on a table alongside several dishes.	A table with several dishes beside it with a television.
000000080671.jpg	someone that has some skis on in the snow	Some person wearing skis in the snow.	Someone holding skis is in the snow.
000000140658.jpg	A brick structure with a clock tower in the background.	A clock tower is positioned in the background of a brick structure.	A brick structure with a clock tower in the forefront.
000000566524.jpg	Two people walking along a sidewalk next to a train on the tracks.	Adjacent to a train on the tracks, two individuals are walking along a sidewalk.	Two people walking along a sidewalk crossing a train on the tracks.
000000541055.jpg	A group of people on skis at a peak of a mountain.	A group of skiers at the mountain summit.	A group of people on skis descending from the peak of a mountain.
000000323355.jpg	A young child dressed in yellow holding a pizza in a box.	The box with pizza is in the hands of the young child wearing an yellow dress.	A young child not wearing yellow is holding a pizza in a box.
000000154425.jpg	A young child flying a colorful kite on top of a sidewalk.	A young child flying a colorful kite atop a sidewalk.	A young child running with a colorful kite on a sidewalk.
000000506656.jpg	A couple of horses are standing in the street.	Two horses are standing in the street.	A couple of horses are crossing the street.
000000078959.jpg	A strange plant hanging off a banana tree.	A peculiar plant is dangling from a banana tree.	A strange plant growing next to a banana tree.
000000293804.jpg	A comfortable living room with brown leather couches and a fireplace	A cozy living room furnished with brown leather couches and features a fireplace.	A bare living room without any furniture or decorations.
000000389566.jpg	A herd of sheep are blocking the road.	The road is obstructed by a flock of sheep.	A herd of sheep are next to the road.
000000140640.jpg	A group of people wearing hats while standing at a dessert table.	A group of individuals standing at a dessert table wearing hats.	A group of people holding hats while standing at a dessert table.
000000558854.jpg	A table with sandwiches, chili, french fries, and a drink.	The table is stocked with sandwiches, french fries, chili, and a beverage.	A table without sandwiches, chili, french fries, and a drink.
000000219578.jpg	A dog and cat are sleeping together on an orange couch.	On an orange couch, a dog and cat are sleeping together.	A dog and cat are playing together on an orange couch.
000000301061.jpg	A person pulls an elephant out of a truck.	An elephant is being pulled out of a truck by an individual.	A person rides on top of an elephant in a truck.
000000269314.jpg	A cat sitting on top of a banana tree.	The cat sits atop the banana tree.	A cat sitting next to a banana tree.
000000031050.jpg	A vase with flowers on a display near a wall	A display near a wall holds a vase with flowers.	A vase with flowers next to a display near a wall.
000000465675.jpg	A beach with two boats and a tractor.	A tractor and a couple of boats are on the beach.	A beach without any boats or tractors.
000000099182.jpg	A person sitting on a bed looking at a book	A person looking at a book while sitting on a bed	A person leaning against a bed looking at a book.
000000356427.jpg	A person standing next to train tracks with bags of luggage.	The person with luggage bags is standing beside the train tracks.	A person walking along train tracks with bags of luggage.
000000550426.jpg	A vase filled with red and white flowers on top of a table.	The vase positioned on top of a table is adorned with white and red flowers.	A vase filled with red and white flowers beside a table.
000000190756.jpg	A person in mid air while riding a motorbike	The person is riding a motorbike in mid-air.	A person is crashing on a motorbike in mid air.
000000219283.jpg	A teddy bear is sitting in front of a group of boxes.	A group of boxes is positioned behind a seated teddy bear.	A teddy bear is sitting behind a group of boxes.
000000530099.jpg	An orange, black and white cat on top of a car.	A white, black and orange cat positioned on top of a car.	An orange, black and white cat next to a car.
000000270244.jpg	A zebra standing in a grassy field by a woods.	A zebra is positioned in a grassy field beside a wooded area.	A zebra running through a grassy field by a woods.
000000473237.jpg	Small child in green shirt holding a slice of pizza to their face.	A little child wearing green shirt holds pizza slice near face.	Small child in a green shirt is dropping a slice of pizza from their hand.
000000274687.jpg	A bicycle is standing next to a bed in a room.	The bicycle is positioned close to the bed in the room.	A bicycle is standing far from a bed in a room.
000000023034.jpg	A person standing on rocks near a person riding horses on a trail in the woods	A person riding horses on a trail in the woods is close to another person standing on rocks.	A person standing on rocks near a person walking on a trail in the woods.
000000268996.jpg	A street sign in front of a skyscraper	A street sign is situated before a skyscraper.	A street sign behind a skyscraper.
000000515445.jpg	Surfers stand with surfboards on a beach for the early morning sunrise.	The surfers stand on the beach for the early morning sunrise while holding their surfboards.	Surfers ride their surfboards on a beach for the early morning sunrise.
000000308394.jpg	A person with a cane and shopping bag sitting	A person sitting with a shopping bag and a cane.	A person with a cane and shopping bag standing.
000000057150.jpg	Little child holding up a big stuffed animal with other children in background.	Other children are situated in the background as a little child holds up a big stuffed animal.	A little child is letting go of a big stuffed animal with other children in the background.
000000021503.jpg	Plate of crackers with something spread on them next to a keyboard	Next to a keyboard is a plate with crackers having something spread on them.	Plate of crackers with something spread on them away from a keyboard.
000000382088.jpg	A white horse is standing near a riding field.	The riding field is close to a standing white horse.	A white horse is galloping in a riding field.
000000121031.jpg	People are riding horses while going through the river.	The horses carrying people are crossing the river.	People are riding horses while jumping over the river.
000000126226.jpg	A group of people in a dugout with their gear	A group of individuals with their gear in the dugout.	A group of people nearby a dugout with their gear.
000000259571.jpg	A group of people in the back of a dump-truck.	A dump truck with a group of individuals positioned at the rear end.	A group of people are climbing onto the back of a dump-truck.
000000318080.jpg	Two brown bears growling at each other while laying on a log.	A couple of brown bears are laying on a log and growling at each other.	Two brown bears sleeping next to each other while laying on a log.
000000571718.jpg	A person with graying hair looks down at a stand full of yellow bananas.	The individual with graying hair is gazing down at a stand stocked with yellow bananas.	A person with graying hair walks past a stand full of yellow bananas.
000000579893.jpg	A red stop sign with two green street signs on top of it.	A couple of green street signs are placed above a red stop sign.	A red stop sign with two green street signs next to it.
000000039951.jpg	A little child with a red baseball cap playing tennis.	A little child is playing tennis while wearing a red baseball cap.	A little child with a red baseball cap watching tennis.
000000319935.jpg	There is a living room with a wide open view	A spacious living room with an expansive view.	There is a living room without a wide open view.
000000164637.jpg	An old fashion sink with the cover painted pink near the mirror.	A vintage-style sink with a pink-painted cover is located close to the mirror.	An old fashion sink with the cover painted pink far from the mirror.
000000026690.jpg	A person is high in the air as he skateboards on the ramp.	A person skateboarding on the ramp is high in the air.	A person is close to the ground as he skateboards on the ramp.
000000189828.jpg	An airplane flying in the sky over some trees.	Some trees are located below the flying airplane in the sky.	An airplane flying in the sky beside some trees.
000000089556.jpg	A bunch of cars parked in a parking lot.	A group of parked cars in a parking lot.	A bunch of cars driving out of a parking lot.
000000232489.jpg	There are two slices of pizza on a paper plate.	A couple of pizza slices are positioned on a paper plate.	There are two slices of pizza next to a paper plate.
000000562121.jpg	Two zebras fighting in a open area with green bushes.	A couple of zebras in an open space with green bushes are engaged in a confrontation.	Two zebras grazing on an open area with green bushes.
000000117425.jpg	A young child with a spoon looking at a birthday cupcake.	A young child gazes at a birthday cupcake with a spoon in hand.	A young child without a spoon looking at a birthday cupcake.
000000466567.jpg	A donut being used as an ornament for a christmas tree	The donut is ornamenting the Christmas tree.	A donut being used as a snack for someone near a Christmas tree.
000000000724.jpg	A stop sign put upside down on a metal pole	The inverted stop sign is mounted on a metal pole.	A stop sign taken off from a metal pole.
000000558854.jpg	A table topped with a sandwich, chili beans and a container of fries.	A table laden with  chili beans, a container of fries and a sandwich.	A table surrounded by a sandwich, chili beans and a container of fries.
000000356498.jpg	A pancake topped with rice, spinach, and broccoli	Broccoli, spinach, and rice are the toppings on a pancake.	A pancake mixed with rice, spinach, and broccoli.
000000334399.jpg	A person standing in front of a clock.	A person is standing before a clock.	A person sitting in front of a clock.
000000352684.jpg	A professionally dressed person poses for the camera.	A person posing for the camera is dressed professionally.	A professionally dressed person walks towards the camera.
