image	sent1	sent2	Best reference (Semantically close)	Reference-2 (Completely irrelevant)
000000364190.jpg	The cake is next to the bowl.	The bowl is next to the cake.	The bowl is away from the cake.	The cat is next to the car.
000000076942.jpg	The bicycle and the person are in front of the van.	The van is behind the bicycle and the person.	The bicycle and the person are behind the van.	The table and the couch are behind the bed.
000000098127.jpg	The apple and the orange are in front of the person.	The person is behind the apple and the orange.	The apple and the orange are behind the person.	The table and the couch are in front of the bed.
000000084268.jpg	The person is touching the broccoli.	The broccoli is touching the person.	The broccoli is far from the person.	The apple is touching the cake.
000000194510.jpg	The person is touching the book.	The book is touching the person.	The book is not touching the person.	The apple is touching the cake.
000000068764.jpg	The parking meter is far away from the car.	The car is far away from the parking meter.	The parking meter is close to the car.	The cat is far away from the dog.
000000306822.jpg	The chair is next to the laptop.	The laptop is next to the chair.	The chair is not next to the laptop.	The dog is next to the cat.
000000570968.jpg	The person and the dog are to the right of the dining table.	The dining table is to the left of the person and the dog.	The dining table is to the right of the person and the dog.	The couch is to the right of the car and the truck.
000000323264.jpg	The backpack is in front of the bed.	The bed is behind the backpack.	The bed is in front of the backpack.	The tree is in front of the house.
000000226903.jpg	The person is not facing the dining table.	The person is facing away from the dining table.	The person is facing the dining table.	The dog is facing the truck.
000000276209.jpg	The chair is beneath the horse.	The horse is above the chair.	The chair is above the horse.	The bird is above the house.
000000294229.jpg	The person is outside the plane.	The person is not inside the plane.	The person is inside the airplane.	The bird is outside the cage.
000000022837.jpg	The knife is beside the pizza.	The knife is at the side of the pizza.	The knife is under the pizza.	The cow is beside the cart.
000000304456.jpg	The sports ball is next to the tv.	The tv is next to the sports ball.	The sports ball is not next to the tv.	The dog is next to the cat.
000000249455.jpg	The person and the table are in front of the couch.	The couch is behind the person and the table.	The person and the table are at the left side of the couch.	The dog and the cat are in front of the tv.
000000054953.jpg	The teddy bear and the cat are on the couch.	The couch is below the teddy bear and the cat.	The teddy bear and the cat are below the couch.	The dog and the cow are below the tree.
000000552093.jpg	The person is away from the cow.	The cow is far from the person.	The person is alongside the cow.	The box is away from the table.
000000326593.jpg	The elephant is inside the truck.	The truck contains the elephant.	The elephant is not inside the truck.	The bird is inside the cage.
000000033717.jpg	The elephant is beneath the bird.	The bird is on top of the elephant.	The bird is far from the elephant.	The table is beneath the dog.
000000222735.jpg	The remote is in front of the tv.	The tv is behind the remote.	The remote is behind the tv.	The elephant is in front of the house.
000000275268.jpg	The teddy bear and the person are on the chair.	The chair is beneath the person and the teddy bear.	The teddy bear and the person are below the chair.	The car and the bike are on the truck.
000000519738.jpg	The person is facing away from the oven.	The person is not facing the oven.	The person is facing the oven.	The car is facing the house.
000000434893.jpg	The bottle is adjacent to the pizza.	The pizza is adjacent to the bottle.	The bottle is not adjacent to the pizza.	The car is adjacent to the truck.
000000300284.jpg	The bicycle and the car are behind the fire hydrant.	The fire hydrant is in front of the bicycle and the car.	The bicycle and the car are in front of the fire hydrant.	The cat and the dog are in front of the truck.
000000579917.jpg	The bananas are behind the cake.	The cake is in front of the bananas.	The bananas are in front of the cake.	The cats are in front of the couch.
000000560332.jpg	The suitcase and the table are beside the bed.	The bed is beside the suitcase and the table.	The suitcase and the table are on the bed.	The car and the bicycle are beside the fire hydrant.
000000417295.jpg	The bottles are in front of the person.	The person is behind the bottles.	The bottles are behind the person.	The apples are in front of the cake.
000000276055.jpg	The carrot plant and the glass are touching the person.	The person is touching the carrot plant and the glass.	The carrot plant and the glass are not touching the person.	The cat and the dog are touching the food.
000000564332.jpg	The person is facing the oven.	The person is facing towards the oven.	The person is facing away from the oven.	The dog is facing the refrigerator.
000000134907.jpg	The person is on the couch.	The couch is under the person.	The person is out of the couch.	The tv is on the stand.
000000057550.jpg	The horse is behind the person.	The horse is not in front of the person.	The horse is in front of the person.	The umbrella is behind the mirror.
000000542205.jpg	The umbrella is far away from the bird.	The bird is far from the umbrella.	The bird is on the umbrella.	The car is far away from the road.
000000505309.jpg	The dining table is ahead of the oven and the refrigerator.	The oven and the refrigerator are behind the dining table.	The dining table is ahead of the oven and the refrigerator.	The apple and the orange are behind the plate.
000000507794.jpg	The person is close to the oven.	The oven is close to the person.	The person is not close to the oven.	The remote is close to the tv.
000000548420.jpg	The boat is at the left side of the elephant and the persons.	The elephant and the persons are at the right side of the boat.	The boat is at the right side of the elephant and the persons.	The monkey and the gorilla are on the right side of the car.
000000025411.jpg	The orange is under the apple.	The apple is in top of the orange.	The orange is on top of the apple.	The banana is on top of the bowl.
000000116353.jpg	The pillow and the blanket are on the couch.	The couch is below the pillow and the blanket.	The pillow and the blanket are under the couch.	The printer and the laptop are on the table.
000000250103.jpg	The person is behind the table and the plates.	The table and the plates are in front of the person.	The person is in front of the table and the plates.	The cat and the bird are behind the box.
000000180606.jpg	The table and the pizza are in front of the person.	The person is behind the table and the pizza.	The person is in front of the table and the pizza.	The printer and the laptop are behind the monitor.
000000508977.jpg	The cat is in front of the person and the books.	The person and the books are behind the cat.	The cat is behind the person and the books.	The cat and the bird are in front of the box.
000000361009.jpg	The dining table and the chairs are at the back of the truck.	The truck is in front of the dining table and the chairs.	The dining table and the chairs are in front of the truck.	The printer and the laptop are behind the monitor.
000000536321.jpg	The cat is next to the backpack.	The backpack is next to the cat.	The cat is far from the backpack.	The car is next to the shopping mall.
000000185502.jpg	The potted plant and the persons are at the back of the bus.	The bus is in front of the potted plant and the persons.	The potted plant and the persons are in front of the bus.	The person and the books are behind the cat.
000000467315.jpg	The person is far away from the potted plant and the dining table.	The potted plant and the dining table are far from the person.	The person is close to the potted plant and the dining table.	The cat and the dog are far from the box.
000000522405.jpg	The cat is on top of the keyboard and the table.	The keyboard and the table are below the cat.	The cat is under the keyboard and the table.	The plate is below the banana and the apple.
000000494785.jpg	The person and the refrigerator are behind the pizza.	The pizza is in front of the person and the refrigerator.	The person and the refrigerator are in front of the pizza.	The cat and the squirrel are behind the tree.
000000558671.jpg	The refrigerator is right of the dog and the person.	The dog and the person are to the left of the refrigerator.	The refrigerator is left of the dog and the person.	The bus is to the left of the potted plant and the persons.
000000469936.jpg	The pizza and the magazine are on top of the table.	The table is below the pizza and the magazine.	The pizza and the magazine are below the table.	The truck is below the dining table and the chairs.
000000481530.jpg	The donut and the coffee mug are on the dining table.	The dining table is below the donut and the coffee mug.	The donut and the coffee mug are below the dining table.	The keyboard and the table are below the cat.
000000569683.jpg	The bicycle is touching the fire hydrant and the pole.	The fire hydrant and the pole are touching the bicycle.	The bicycle is not touching the fire hydrant and the pole.	The person and the monkey are touching the dining table.
000000451240.jpg	The person and the dining table are in front of the oven.	The oven is behind the person and the dining table.	The oven is in front of the person and the dining table.	The cat and the squirrel are in front of the tree.
000000106993.jpg	The bowl is next to the hot dog and the potato fries..	The hot dog and the potato fries are next to the bowl.	The bowl is far from the hot dog and the potato fries..	The person and the monkey are next to the dining table.
000000296205.jpg	The person and the dog are on the couch.	The couch is below the person and the dog.	The person and the dog are below the couch.	The table is below the pizza and the magazine.
000000434930.jpg	The person is touching the donut and the dining table.	The donut and the dining table person are touching the person.	The person is not touching the donut and the dining table.	The bicycle is touching the fire hydrant and the pole.
000000374072.jpg	The umbrella is behind the sandwich and the person.	The sandwich and the person are in front of the umbrella.	The umbrella is in front of the sandwich and the person.	The cat and the squirrel are behind the tree.
000000153892.jpg	The person is alongside the teddy bear.	The teddy bear is next to the person.	The teddy bear is far from the person.	The bed is alongside the couch.
000000443631.jpg	The donut and the coffee are in front of the potted plant.	The potted plant is behind the donut and the coffee.	The donut and the coffee are behind the potted plant.	The cat and the dog are in front of the box.
000000449279.jpg	The person is behind the cake and the candles.	The cake and the candles are in front of the person.	The person is in front of the cake and the candles.	The donut and the coffee are in front of the potted plant.
000000351380.jpg	The person is not touching the pizza and the fork.	The pizza and the fork are not touching the person.	The person is touching the pizza and the fork.	The person and the monkey are not touching the dining table.
000000145593.jpg	The baseball glove is in front of the person.	The person is behind the baseball glove.	The person is in front of the baseball glove.	The banana is in front of the monkey.
000000225828.jpg	The donut is touching the person.	The person is touching the donut.	The donut is not touching the person.	The bed is touching the couch.
000000119414.jpg	The cake and the apple are on the plate. 	The plate is below the cake and the apple.	The cake and the apple are beside the plate. 	The book and the laptop are on the table.
000000542054.jpg	The cup and the cat are above the books.	The books are below the cup and the cat.	The cup and the cat are below the books.	The person and the dog are under the tree.
000000155245.jpg	The person is at the left side of the table and the pizza.	The table and the pizza are to the right of the person.	The person is at the right side of the table and the pizza.	The dog and the cat are to the right side of the oven.
000000326801.jpg	The horse is touching the person and the hat.	The person and the hat are touching the horse.	The horse is not touching the person and the hat.	The monkey is touching the pizza and the fork.
000000097800.jpg	The teddy bear and the person are behind the bird.	The bird is in front of the teddy bear and the person.	The bird is not in front of the teddy bear and the person.	The banana and the apple are in front of the monkey.
000000028319.jpg	The plate is under the cake and the fork.	The cake and the fork are on top of the plate.	The plate is above the cake and the fork.	The crow and the parrot are on top of the tree.
000000117094.jpg	The bananas are in front of the chairs and the potted plant.	The potted plant and the chairs are behind the bananas	The bananas are behind the chairs and the potted plant.	The person and the dog are behind the tree.
000000401362.jpg	The potted plant is in front of the fire hydrant.	The fire hydrant is in back of the potted plant.	The potted plant is behind the fire hydrant.	The banana is in front of the monkey.
000000476230.jpg	The two persons are below the umbrella.	The umbrella is above the two persons.	The two persons are above the umbrella.	The birds are above the plane.
000000058443.jpg	The chair is behind the dog and the pillow.	The chair is at the back of the dog and the pillow.	The chair is in front of the dog and the pillow.	The person and the dog are at the back of the tree.
000000501498.jpg	The black cat is on the suitcase.	The suitase is under the black cat.	The suitcase is above the black cat.	The pine tree is on the hill.
000000067428.jpg	The horse and the person are not inside the truck.	The horse and the person are outside the truck.	The horse and the person are inside the truck.	The cat and the dog are not inside the house.
000000058425.jpg	The bowl is above the sandwich and the plate.	The bowl is not below the sandwich and the plate.	The bowl is below the sandwich and the plate.	The bird and the kite are above the house.
000000400571.jpg	The glass and the bottle are beside the plate.	The glass and the bottle are close to the plate.	The glass and the bottle are far from the plate.	The person and the monkey are close to the bridge.
000000564211.jpg	The teddy bear is facing away from the person.	The teddy bear is not facing the person.	The teddy bear is facing the person.	The person is facing the tv.
000000268227.jpg	The cat and the table are next to the bed.	The bed is next to the cat and the table.	The cat and the table are far away from the bed.	The banana and the orange are next to the knife.
000000079172.jpg	The bananas are behind the apples and the oranges.	The bananas are not in front of the apples and the oranges.	The bananas are in front of the apples and the oranges.	The cars are behind the cats and the dogs.
000000182339.jpg	The person is not facing the tv.	The person is facing away from the tv.	The person is facing the tv.	The monkey is facing the oven.
000000021138.jpg	The cell phone and the lamp are next to the bed.	The cell phone and the lamp are beside the bed.	The cell phone and the lamp are far from the bed.	The chair and the table are next to the couch.
000000041041.jpg	The pizza is on the oven.	The pizza is not below the oven.	The pizza is below the oven.	The lamp is on the table.
000000087739.jpg	The person is next to the cow.	The person is close to the cow.	The person is far from the cow.	The cat is with the dog.
000000253890.jpg	The bowl contains the apple and the orange.	The apple and the orange are inside the bowl.	The apple and the orange are outside the bowl.	The dog and the cat are inside the truck.
000000139472.jpg	The person is under the umbrella.	The umbrella is above the person.	The umbrella is under the person.	The tv is above the dining table.
000000159842.jpg	The person and the teddy bear are ahead of the chair.	The chair is behind the person and the teddy bear.	The person and the teddy bear are behind the chair.	The monkey and the gorilla are behind the car.
000000497030.jpg	The suitcase contains the cat and the book.	The book and the cat are inside the suitcase.	The book and the cat are outside the suitcase.	The apple and the orange are inside the refrigerator.
000000209922.jpg	The person is not touching the pizza.	The pizza is not touching the person.	The person is touching the pizza.	The monkey is not touching the banana.
000000189880.jpg	The person and the cat are touching the couch.	The couch is touching the person and the cat.	The person and the cat are not touching the couch.	The monkey and the elephant are touching the bananas.
000000067065.jpg	The pizza is not in the oven.	The pizza is outside the oven.	The pizza is in the oven.	The cat is in the box.
000000042472.jpg	The person and the horse are above the potted plants.	The potted plants are below the person and the horse.	The person and the horse are below the potted plants.	The cat and the dog are above the table.
000000571835.jpg	The cat is within the suitcase.	The suitcase contains the cat.	The cat is not within the suitcase.	The ball is within the backpack.
000000227675.jpg	The sandwich is adjacent to the bowl.	The bowl is beside the sandwich.	The bowl is far away from the sandwich.	The car is adjacent to the tree.
000000071136.jpg	The pizza is above the dining table.	The dining table is below the pizza.	The dining table is above the pizza.	The dog is on the tree.
000000529012.jpg	The banana is touching the keypad and the table.	The table and the keypad are touching the banana.	The banana is far from the keypad and the table.	The pizza is touching the tv and the fridge.
000000252617.jpg	The handbag contains the cat.	The cat is inside the handbag.	The cat is outside the handbag.	The bowl contains the strawberry.
000000429746.jpg	The person is touching the book.	The book is touching the person.	The person is not touching the book.	The cow is touching the car.
000000283162.jpg	The sandwich is on the wrapper.	The wrapper is below the sandwich.	The sandwich is below the wrapper.	The book is on the desk.
000000447613.jpg	The umbrella is above the person.	The person is under the umbrella.	The umbrella is not above the person.	The kite is above the building.
000000067339.jpg	The pizza is on the top of the dining table.	The dining table is under the pizza.	The pizza is below the dining table.	The book is on top of the desk.
000000482002.jpg	The umbrella is above the person.	The person is below the umbrella.	The umbrella is below the person.	The kite is above the building.
000000496379.jpg	The person is not touching the laptop.	The laptop is not touching the person.	The person is touching the laptop.	The cat is not touching the cake.
000000549220.jpg	The skateboard is under the dog.	The dog is on the skateboard.	The skateboard is on the dog.	The cell phone is on the laptop.
000000027750.jpg	The banana is inside the sandwich.	The sandwich contains the banana.	The banana is beside the sandwich.	The dog is inside the truck.
000000348767.jpg	The toilet is at the left side of the cat.	The cat is at the right side of the toilet.	The toilet is at the right side of the cat.	The bicycle is at the right side of the bike.
000000037999.jpg	The bird is on the branch of the tree.	The  branch of the tree is under the bird.	The bird is below the branch of the tree.	The cup is on the wooden table.
000000322720.jpg	The person is close to the potted plant.	The potted plant is near the person.	The person is far away from the potted plant.	The watch is near the laptop.
000000125597.jpg	The dining table is in front of the person.	The person is behind the dining table.	The dining table is behind the person.	The truck is in front of the bus.
000000162156.jpg	The bed is not far from the toilet.	The toilet is near the bed.	The bed is far from the toilet.	The car is not far from the house.
000000126826.jpg	The pizza is on top of the dining table.	The dining table is under the pizza.	The pizza is under the dining table.	The cat is on the house.
000000408975.jpg	The couch is on top of the truck.	The truck is under the couch.	The couch is under the truck.	The dog is under the bed.
000000089848.jpg	The cup is touching the cat.	The cat is touching the cup.	The cup is far from the cat.	The pan is touching the oven.
000000509783.jpg	The person is far from the elephant.	The elephant is far from the person.	The person is close to the elephant.	The office is far from the restaurant.
000000127576.jpg	The chair is under the horse.	The horse is above the chair.	The horse is under the chair.	The cat is under the bed.
000000248238.jpg	The bowl contains the hot dog.	The hot dog is inside the bowl.	The hot dog is outside the bowl.	The act is inside the bath tub.
000000473774.jpg	The person is behind the sandwich.	The sandwich is in front of the person.	The person is in front of the sandwich.	The dog is behind the elephant.
000000111727.jpg	The cat is inside the sink.	The sink contains the cat.	The cat is outside the sink.	The couch is inside the truck.
000000109265.jpg	The elephant is next to the bird.	The bird is adjacent to the elephant.	The elephant is far from the bird.	The bed is next to the wooden table.
000000153733.jpg	The dining table is beneath the pizza.	The pizza is on top of the dining table.	The dining table is above the pizza.	The book is beneath the toy train.
000000086922.jpg	The fan is behind the person.	The person is in front of the fan.	The person is behind the fan.	The car is behind the house.
000000014783.jpg	The bowl contains the apples.	The apples are in the bowl.	The apples are outside the bowl.	The bottle contains the liquid.
000000525202.jpg	The pizza is above the dining table.	The dining table is below the pizza.	The pizza is below the dining table.	The cat is above the refrigerator.
000000022501.jpg	The oven contains the pizza.	The pizza is inside the oven.	The pizza is far from the oven.	The bottle contains the liquid.
000000473642.jpg	The bench is in front of the train.	The train is behind the bench.	The bench is behind the train.	The person is in front of the oven.
000000479528.jpg	The cat is away from the clock.	The clock is away from the cat.	The cat is near the clock.	The car is away from the house.
000000382320.jpg	The truck is close to the bus.	The busis close to the truck.	The truck is far from the bus.	The oven is close to the refrigerator.
000000522930.jpg	The cat is on the pillow.	The pillow is beneath the cat.	The pillow is on the cat.	The car is on the road.
000000379552.jpg	The broccoli is touching the person.	The person is in contact with the broccoli .	The broccoli is not touching the person.	The rat is touching the carrots.
000000134211.jpg	The kite is above the person.	The person is below the kite.	The kite is below the person.	The dog is below the dining table.
000000194313.jpg	The cat is at the right side of the toilet.	The toilet is at the left side of the cat.	The cat is at the left side of the toilet.	The clock is at the left side of the laptop.
000000539055.jpg	The person is under the umbrella.	The umbrella is above the person.	The umbrella is below the person.	The clocl is above the computer desk.
000000033111.jpg	The chair is at the right side of the dog.	The dog is at the left side of the chair.	The chair is at the left side of the dog.	The wallet is at the left side of the bed.
000000175263.jpg	The toilet is next to the bed.	The bed is close to the toilet.	The toilet is far from the bed.	The water bottle is next to the monitor.
000000442252.jpg	The handbag is on the bed.	The bed is under the handbag.	The handbag is under the bed.	The car is on the road.
000000233646.jpg	The backpack is far away from the car.	The car is not close to the handbag.	The backpack is close to the car.	The eagle is far away from the building.
000000260248.jpg	The orange is adjacent to the sandwich.	The sandwich is next to the orange.	The orange is far from the sandwich.	The dog is next to the car.
000000062219.jpg	Orange and lemon are inside the bowl. 	The bowl contains the orange and the lemon.	Orange and lemon are outside the bowl. 	The dog and the cat are inside the pool.
000000425078.jpg	The person is outside the bus.	The bus do not contain the person.	The person is in the bus.	The bird is outside the cage.
000000379226.jpg	The cat is alongside the pillow.	The pillow is close to the cat.	The cat is far from the pillow.	The toilet is close to the washing machine.
000000510087.jpg	The person is touching the boat and the dog.	The dog and the boat are touching the person.	The person is far from the boat and the dog.	The cat and the rat are touching the cheese.
000000070411.jpg	The suitcase do not contain the cat.	The cat is outside the suitcase.	The suitcase contains the cat.	The car is outside the garage.
000000423141.jpg	The dining table is touching the bottle and the glass.	The glass and the bottle are touching the dining table.	The bottle and the glass are far from the dining table.	The cat and the rat are touching the cheese.
000000227487.jpg	The dining table is touching the person.	The person is touching the dining table.	The dining table is not touching the person.	The rat is touching the cake.
000000086399.jpg	The broccoli is very close to the bowl.	The bowl not far from the broccoli.	The bowl far from the broccoli.	The person is not far from the oven.
000000136938.jpg	The donuts are on the tray.	The tray is below the donuts.	The donuts are under the tray.	The books are on top of the table.
000000049037.jpg	The couch is right of the potted plant.	The potted plant is left of the couch.	The couch is left of the potted plant.	The chocolate is left of the yogurt.
000000225713.jpg	The cat is outside the toilet.	The toilet do not contain the cat.	The cat is in the toilet.	The cow is outside the farm.
000000208054.jpg	The teddy bears are below the umbrella.	The umbrella is above the teddy bears.	The teddy bears are above the umbrella.	The cat is above the toilet.
000000497873.jpg	The person is on the horse.	The horse is beneath the person.	The person is far from the horse.	The dog is on the bike.
000000092575.jpg	The teddy bear is perpendicular to the dining table.	The dining table is perpendicular to the teddy bear.	The teddy bear is parallel to the dining table.	The pole is perpendicular to the road.
000000450193.jpg	The bed is beside the suitcase.	The suitcase is beside the bed.	The bed is far from the suitcase.	The bike is beside the truck.
000000553862.jpg	The dining table is at the left side of the bus.	The bus is right of the dining table.	The dining table is at the right side of the bus.	The clock is at the right side of the laptop.
000000481773.jpg	The dog is on the table.	The table is under the dog.	The table is above the dog..	The cat is on the bed.
000000419150.jpg	The umbrella is attached to the bicycle.	The bicycle is touching the umbrella.	The umbrella is far from the bicycle.	The dog is attached to the pole.
000000166853.jpg	The cup and the orange are next to the laptop.	The laptop is close to the orange and the cup.	The cup and the orange are away from the laptop.	The car and the bus are next to the building.
000000297353.jpg	The person on the bed is touching the guitar.	The guitar is touching the person on the bed.	The guitar is away from the person on the bed.	The cat on the table is touchiong the oven.
000000318114.jpg	The cake is next to the glass with orange juice.	The glass with orange juice is next to the cake.	The cake is far from the glass with orange juice.	The box with the gift is far from the scissors.
000000514864.jpg	The surfboard is close to the person.	The person is next to the surfboard.	The person is far from the surfboard.	The dog is close to the dining table.
000000324483.jpg	The cat is inside the travel bag..	The travel bag contains the cat.	The cat is on the travel bag..	The elephant is inside the truck.
000000332006.jpg	The person is standing in front of the houses.	The houses are behind the standing person.	The person is standing behind the houses.	The horse is standing in front of the truck.
000000388905.jpg	The bowl is touching the bird.	The bird is in contact with the bowl.	The bowl is far from the bird.	The laptop is touching the oven.
000000189187.jpg	The dining table is in front of the teddy bear.	The teddy bear is behind the dining table.	The dining table is behind the teddy bear.	The cat is behind the cookie jar.
000000004011.jpg	The person is left of the cake.	The cake is right of the person.	The person is right of the cake.	The bicycle is right of the car.
